Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
11	PK, PD, Safety and Immunogenicity of Spectrila in Adults With Acute B-cell Lymphoblastic Leukaemia	Recruiting	No Results Available	Acute B-Cell Lymphoblastic Leukaemia	Drug: Spectrila®	Universidade Estadual de Campinas, Campinas, Brazil|Hospital das Clínicas da UFG, Goiânia, Brazil|Hospital de Clínicas Porto Alegre, Pôrto Alegre, Brazil|INCA Instituto Nacional do Cancer, Rio de Janeiro, Brazil|Hospital Estadual Mario Covas, Santo André, Brazil|Hospital de Base de Sáo José, São José, Brazil|Hospital das Clínicas São Paulo USP, São Paulo, Brazil	https://ClinicalTrials.gov/show/NCT03156790
12	Asparaginase Activity Monitoring (AAM) in Adult Patients With Acute Lymphoblastic Leukemia (ALL)	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: Asparaginase	Aou Integrata Di Verona, Policlinico G.B. Rossi - Uoc Ematologia, Verona, Italy	https://ClinicalTrials.gov/show/NCT03668392
13	A Study of Blinatumomab in Combination With AMG 404 for the Treatment of Adults With Acute Lymphoblastic Leukemia (ALL)	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: Blinatumomab|Drug: AMG 404|Drug: Dexamethasone Premedication	City of Hope National Medical Center, Duarte, California, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Royal Adelaide Hospital, Adelaide, South Australia, Australia|The Royal Melbourne Hospital, Parkville, Victoria, Australia|Ordensklinikum Linz Elisabethinen, Linz, Austria|Hôpital Saint Louis, Paris, France|Centre Hospitalier Lyon Sud, Pierre-Benite, France|Klinikum und Fachbereich Medizin Johann Wolfgang Goethe-Universität Frankfurt am Main, Frankfurt am Main, Germany|Universitätsklinikum Schleswig-Holstein, Kiel, Germany|Azienda Ospedaliera Universitaria di Bologna Policlinico S Orsola Malpighi, Bologna, Italy|Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia, Brescia, Italy|Universitair Medisch Centrum Groningen, Groningen, Netherlands|Hospital Universitari Germans Trias i Pujol, Badalona, Cataluña, Spain|Hospital Clinic i Provincial de Barcelona, Barcelona, Cataluña, Spain	https://ClinicalTrials.gov/show/NCT04524455
14	Phase 1 Study of UCART22 in Patients With Relapsed or Refractory CD22+ B-cell Acute Lymphoblastic Leukemia (BALLI-01)	Recruiting	No Results Available	B-cell Acute Lymphoblastic Leukemia	Biological: UCART22	University of California, Los Angeles (UCLA) - Medical Center, Los Angeles, California, United States|University of Chicago, Chicago, Illinois, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Weill Medical College of Cornell University, New York, New York, United States|MD Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT04150497
15	Study Evaluating the Efficacy and Safety With CD19CAR-T for Relapsed or Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Relapsed Acute Lymphoblastic Leukemia|Refractory Acute Lymphoblastic Leukemia	Combination Product: CD19 CART	Shenzhen University General Hospital, Shenzhen, China	https://ClinicalTrials.gov/show/NCT04012879
16	Cladribine in Combination With GAP in Patients With Refractory/Relapsed Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: Cladribine|Drug: G-CSF|Drug: Cytarabine|Drug: Pegaspargase	Sun Yat-sen University Cancer Center, GuangZhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03318419
17	A Study of Subcutaneous Blinatumomab Administration in Acute Lymphoblastic Leukemia (ALL) Patients	Recruiting	No Results Available	B Cell Precursor Acute Lymphoblastic Leukemia	Drug: Blinatumomab	University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Seattle Cancer Care Alliance, Seattle, Washington, United States|University of Washington, Seattle, Washington, United States|Universitaetsklinikum Allgemeines Krankenhaus Wien, Wien, Austria|Centre Hospitalier Regional Universitaire de Lille - Hopital Claude Huriez, Lille, France|Centre Hospitalier Universitaire de Nice, Nice cedex 3, France|Institut Universitaire du Cancer Toulouse Oncopole, Toulouse cedex 9, France|Charite Universitätsmedizin Berlin Campus Benjamin Franklin, Berlin, Germany|Universitaetsklinikum Leipzig Anstalt des oeffentlichen Rechts, Leipzig, Germany|Universitatsklinikum Tubingen, Tübingen, Germany|Universitatsklinikum Ulm, Ulm, Germany|Azienda Socio Sanitaria Territoriale Papa Giovanni XXIII, Bergamo, Italy|Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia, Brescia, Italy|IRCCS Ospedale San Raffaele, Milano, Italy|Azienda Ospedaliera Policlinico Umberto I, Roma, Italy|Hospital Clinico Universitario de Salamanca, Salamanca, Castilla León, Spain|Clinica Universidad de Navarra, Pamplona, Navarra, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain	https://ClinicalTrials.gov/show/NCT04521231
18	CD19-CAR-T2 Cells for CD19 Positive Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia, in Relapse|Acute Lymphoblastic Leukemia Not Having Achieved Remission|Acute Lymphoblastic Leukemia, Adult	Biological: CD19-CAR-T2 Cells	Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04605666
19	Chimeric Antigen Receptor (CAR)-Modified T Cell Therapy in Treating Patients With Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Biological: CAR-T cells	Department of Hematopoietic Stem Cell Transplantation, Beijing, China	https://ClinicalTrials.gov/show/NCT02186860
20	Study of the Infusion of ARI-0001 Cells in Patients With CD19 + Acute Lymphoid Leukemia Resistant or Refractory to Therapy	Recruiting	No Results Available	Acute Lymphoid Leukemia	Drug: ARI-0001 cells	Hospital Universitari Germans Trias i Pujol, Badalona, Barcelona, Spain|Clínica Universidad de Navarra, Pamplona, Navarra, Spain|Hospital Clinic of Barcelona, Barcelona, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital 12 de Octubre, Madrid, Spain|Hospital Clínico Universitario Virgen de La Arrixaca, Murcia, Spain|Hospital Universitario de Salamanca, Salamanca, Spain|Hospital U. Virgen del Rocío, Sevilla, Spain|Hospital La Fe, Valencia, Spain	https://ClinicalTrials.gov/show/NCT04778579
21	Blinatumomab, Inotuzumab Ozogamicin, and Combination Chemotherapy as Frontline Therapy in Treating Patients With B Acute Lymphoblastic Leukemia	Recruiting	No Results Available	B Acute Lymphoblastic Leukemia|B Lymphoblastic Lymphoma	Biological: Blinatumomab|Drug: Cyclophosphamide|Drug: Cytarabine|Drug: Dexamethasone|Drug: Doxorubicin Hydrochloride|Biological: Inotuzumab Ozogamicin|Other: Laboratory Biomarker Analysis|Drug: Mercaptopurine|Drug: Methotrexate|Biological: Ofatumumab|Drug: Prednisone|Biological: Rituximab|Drug: Vincristine Sulfate	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT02877303
22	A Study of CD19 Targeted CAR T Cell Therapy in Adult Patients With Relapsed or Refractory B Cell Acute Lymphoblastic Leukaemia (ALL)	Recruiting	No Results Available	Relapsed or Refractory B Cell Acute Lymphoblastic Leukemia	Biological: AUTO1	City of Hope National Medical Center, Duarte, California, United States|University of California San Diego Health (UCSD), La Jolla, California, United States|University of California Davis (UC Davis), Sacramento, California, United States|University of California San Francisco (UCSF), San Francisco, California, United States|Colorado Blood Cancer Institute (CBCI), Denver, Colorado, United States|University of Miami, Miami, Florida, United States|H Lee Moffitt Cancer Center, Tampa, Florida, United States|Winship Cancer Institute of Emory University, Atlanta, Georgia, United States|University of Chicago, Chicago, Illinois, United States|University of Kansas, Kansas City, Kansas, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|University of Nebraska, Omaha, Nebraska, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|University of Rochester, Rochester, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|Ohio State University Cancer Center, Columbus, Ohio, United States|TriStar Centennial Medical Center (SCRI), Nashville, Tennessee, United States|Baylor Scott & White Research Institute, Dallas, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|TTI-Methodist (Texas Transplant Institute) (SCRI), San Antonio, Texas, United States|Swedish Cancer Center, Seattle, Washington, United States|Wisconsin Cancer Center, Milwaukee, Wisconsin, United States|University College London Hospitals NHS Foundation Trust, London, Greater London, United Kingdom|King's College Hospital, London, Greater London, United Kingdom|Manchester Royal Infirmary Hospital, Manchester, Greater Manchester, United Kingdom|Queen Elizabeth University Hospital, Glasgow, Scotland, United Kingdom|Freeman Hospital, The Newcastle upon Tyne Hospitals NHS Foundation Trust, Newcastle upon Tyne, Tyne And Wear, United Kingdom|University Hospitals Birmingham NHS Foundation Trust, Birmingham, West Midlands, United Kingdom|University Hospitals Bristol and Weston NHS Foundation Trust (UHBW), Bristol, United Kingdom	https://ClinicalTrials.gov/show/NCT04404660
