Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
15	Study of Pembrolizumab in Patients With Early-Stage NK/T-cell Lymphoma, Nasal Type	Recruiting	No Results Available	NK/T-Cell Lymphoma of Nasal Cavity (Diagnosis)|NK/T-Cell Lymphoma of Nasopharynx (Diagnosis)	Drug: Pembrolizumab	Stanford University, Stanford, California, United States|Memoral Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, United States|Hackensack Meridian Health, Hackensack, New Jersey, United States|Memoral Sloan Kettering Monmouth, Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, United States|Memorial Sloan Kettering Commack, Commack, New York, United States|Memoral Sloan Kettering Westchester, Harrison, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Memorial Sloan Kettering Nassau, Uniondale, New York, United States|Md Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03728972
16	Study of Ibrutinib in Relapsed and Refractory T-cell Lymphoma	Recruiting	No Results Available	T-cell Lymphoma|Relapsed and Refractory T-cell Lymphoma	Drug: Ibrutinib	Memorial Sloan Kettering Cancer Center, New York, New York, United States|Ohio State University, Columbus, Ohio, United States	https://ClinicalTrials.gov/show/NCT02309580
17	A Clinical Trial of Chidamide Combined With Etoposide in Relapsed or Refractory NK/T-cell Lymphoma	Recruiting	No Results Available	NK/T-Cell Lymphoma	Drug: Chidamide+ Etoposide	Oncology Department of The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China	https://ClinicalTrials.gov/show/NCT04490590
18	A Study of TQ-B3525 in Subjects With Relapsed/Refractory Peripheral T-cell Lymphoma（PTCL）	Not yet recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: TQ-B3525	Cancer Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China|Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT04615468
19	A Trial of E7777 in Persistent and Recurrent Cutaneous T-Cell Lymphoma	Recruiting	No Results Available	Persistent or Recurrent Cutaneous T-Cell Lymphoma	Drug: E7777 9 mcg/kg	University of Alabama at Birmingham, Dermatology at Whitaker Clinic, Birmingham, Alabama, United States|University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States|City of Hope Medical Center National Medical Center, Duarte, California, United States|UC Irvine Health-Chao Family Comprehensive Cancer Center, Orange, California, United States|Stanford University Cancer Center, Stanford, California, United States|Yale University Cancer Center, New Haven, Connecticut, United States|University of Florida, Gainesville, Florida, United States|H. Lee Moffitt Cancer Center, Tampa, Florida, United States|University of South Florida College of Medicine, Tampa, Florida, United States|Winship Cancer Institute of Emory University, Atlanta, Georgia, United States|Northwestern Memorial Hospital, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Columbia University Medical Center, New York, New York, United States|University of PittsburghMedical Center Presbyterian Shadyside, Pittsburgh, Pennsylvania, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|The University of TX MD Anderson Cancer Center, Houston, Texas, United States|Westmead Hospital, Westmead, New South Wales, Australia|Epworth Healthcare Freemasons, East Melbourne, Victoria, Australia|Peter MacCallum Cancer Institute, East Melbourne, Victoria, Australia|Auxilio Mutuo Cancer Center, San Juan, Puerto Rico	https://ClinicalTrials.gov/show/NCT01871727
20	Sintilimab, Pegaspargase and Anlotinib for Stage IV Natural Killer /T-cell Lymphoma	Recruiting	No Results Available	Natural Killer/T-Cell Lymphoma, Nasal and Nasal-Type	Drug: LEAP regimen	Xinhua Hospital, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT04004572
21	A Study of Bortezomib Combined With CHEP in Peripheral T Cell Lymphoma	Recruiting	No Results Available	Peripheral T Cell Lymphoma	Drug: Bortezomib|Drug: Etoposide|Drug: Cyclophosphamide|Drug: Pharmorubicin|Drug: Prednisone	Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04061772
22	A Study of SHC014748M in Patients With Relapsed or Refractory Peripheral T Cell Lymphoma	Not yet recruiting	No Results Available	Peripheral T Cell Lymphoma	Drug: SHC014748M treatment		https://ClinicalTrials.gov/show/NCT04470141
23	Anti-CCR4 Monoclonal Antibody (Mogamulizumab) and Total Skin Electron Beam Therapy (TSEB) in Patients With Stage IB-IIB Cutaneous T-Cell Lymphoma	Not yet recruiting	No Results Available	Stage IB-IIB Cutaneous T-Cell Lymphoma	Drug: Mogamulizumab|Radiation: Total Skin Electron Beam Therapy (TSEB)|Drug: Mogamulizumab (subsequent cycles post TSEB)		https://ClinicalTrials.gov/show/NCT04128072
24	A Study of PD-1/CTLA-4 Bispecific AK104 in Relapsed or Refractory Peripheral T-cell Lymphoma	Recruiting	No Results Available	Peripheral T-cell Lymphoma	Biological: AK104	Beijing Cancer Hospital, Beijing, Beiing, China	https://ClinicalTrials.gov/show/NCT04444141
25	The Efficacy and Safety of F520 in Patients With Relapsed/Refractory Peripheral T Cell Lymphoma (PTCL).	Not yet recruiting	No Results Available	Peripheral T Cell Lymphoma	Drug: F520		https://ClinicalTrials.gov/show/NCT04457830
26	Nivolumab With Standard of Care Chemotherapy for Peripheral T Cell Lymphomas	Recruiting	No Results Available	Peripheral T Cell Lymphoma	Drug: Nivolumab and EPOCH	City of Hope Cancer Center, Duarte, California, United States|University of Colorado Hospital, Aurora, Colorado, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03586999
27	Lenalidomide and Sintilimab for Relapsed/Refractory NK/T-cell Lymphoma	Recruiting	No Results Available	NK/T Cell Lymphoma Nos	Drug: Sintilimab|Drug: Lenalidomide	Beijing Tongren Hospital, Beijing, China	https://ClinicalTrials.gov/show/NCT04231370
28	Efficacy and Safety of CDOP vs CHOP for Newly Diagnosed Peripheral T-cell Lymphoma	Recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: Cyclophosphamide|Drug: pegylated liposomal doxorubicin|Drug: Vincristine|Drug: Prednisone|Drug: Doxorubicin	Peking University Cancer Hospital & Institute, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT03952572
29	A Study of Evaluating the Safety and Efficacy of ATG-010 Combined With Chemotherapy Sequential With ATG-010 Monotherapy Maintenance in Peripheral T- and NK/T-cell Lymphoma	Recruiting	No Results Available	Peripheral T-cell Lymphoma|NK/T-cell Lymphoma	Combination Product: ICE [ifosfamide+carboplatin+etoposide]|Combination Product: GEMOX [gemcitabine+oxaliplatin]	Peking University Third Hospital, Beijing, Beijing, China|Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China|Henan Cancer Hospital, Zhengzhou, Henan, China|Tianjin Medical Universisity Cancer Institute & Hospital, Tianjin, Tianjin, China|The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04425070
30	LCAR-T2C CAR-T Cells in Relapsed or Refractory CD4+ T-cell Lymphoma	Recruiting	No Results Available	CD4+ T-cell Lymphoma	Drug: Efficacy of LCAR-T2C CAR-T cells	Hematological Department, People's Hospital of Jiangsu Province, Nanjing, Jiangsu, China	https://ClinicalTrials.gov/show/NCT04219319
31	Clinical Trial in Chinese Patients of Relapsed and Refractory Peripheral T Cell Lymphoma (GB226)	Recruiting	No Results Available	Peripheral T Cell Lymphoma	Biological: GB226	Cancer Hospital Chinese Academy of Medical Sciences, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT03502629
32	Sintilimab With P-GemOx Regimen for Newly Diagnosed Advanced Extranodal Natural Killer/T-cell Lymphoma, Nasal Type	Recruiting	No Results Available	NK/T Cell Lymphoma Nos	Drug: sintilimab,pegaspargase,gemcitabine,oxaliplatin	Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04127227
33	A Multicenter, Phase 3, Randomized Trial of Sequencial Chemoradiotherapy With or Without Toripalimab (PD-1 Antibody) in Newly Diagnosed Early-Stage Extranodal Natural Killer/T Cell Lymphoma, Nasal Type (ENKTL)	Recruiting	No Results Available	NK/T Cell Lymphoma Nos	Drug: Toripalimab|Drug: Pegaspargase|Drug: Gemcitabine|Drug: Oxaliplatin|Radiation: Definitive intensity-modulated radiotherapy (IMRT)	Guangdong General Hospital, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04365036
34	Study on Therapy With Dimethylfumarate (DMF) in Patients With Cutaneous T Cell Lymphoma (CTCL)	Recruiting	No Results Available	Cutaneous T Cell Lymphoma	Drug: dimethylfumarate	University Medical Center, Mannheim, Germany	https://ClinicalTrials.gov/show/NCT02546440
35	Maintenance Therapy With Anti-PD-1 Antibody for Patients With NK/T-cell Lymphoma	Not yet recruiting	No Results Available	Extranodal NK/T-cell Lymphoma, Nasal Type	Drug: toripalimab		https://ClinicalTrials.gov/show/NCT04338282
36	Trial of Intravenous Fenretinide Emulsion for Patients With Relapsed/Refractory Peripheral T-cell Lymphomas	Recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: Fenretinide	Banner MD Anderson Cancer Center, Gilbert, Arizona, United States|USC Norris Comprehensive Cancer Center, Los Angeles, California, United States|University of California, Los Angeles, Los Angeles, California, United States|Emory University, Atlanta, Georgia, United States|University of Kansas Cancer Center, Westwood, Kansas, United States|Norton Healthcare, Louisville, Kentucky, United States|University of Louisville, Louisville, Kentucky, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Bon Secours Saint Francis Cancer Center, Greenville, South Carolina, United States|Baylor University Medical Center, Dallas, Texas, United States|University of Texas, Southwestern, Dallas, Texas, United States	https://ClinicalTrials.gov/show/NCT02495415
37	Combination Chemotherapy Including Cisplatin, Ifosfamide, Gemcitabine, L-asparaginase, Etoposide and Dexamethasone as Treatment of Newly Diagnosed and Relapsed/Refractory Peripheral T Cell Lymphomas	Recruiting	No Results Available	Peripheral T Cell Lymphoma	Drug: cisplatin|Drug: ifosfamide|Drug: gemcitabine|Drug: L-asparaginase|Drug: etoposide|Drug: dexamethasone	The University of Hong Kong, Hong Kong, Hong Kong	https://ClinicalTrials.gov/show/NCT03071822
38	A Multicenter Clinical Trial of Daratumumab in Combination With Gemcitabine, Dexamethasone and Cisplatin in Patients With Relapsed/Refractory CD38 Positive PTCL-NOS, Angioimmunoblastic T-cell Lymphoma AITL and Other Nodal Lymphomas of T Follicular Helper Cells Origin	Recruiting	No Results Available	Refractory T-Cell Lymphoma|Relapsed T-Cell Lymphoma	Drug: Daratumumab	Casa Sollievo della Sofferenza - U.O. Ematologia, San Giovanni Rotondo, Foggia, Italy|Azienda Ospedaliera S.Giuseppe Moscati - S.C. Ematologia e Trapianto emopoietico, Avellino, Italy|IRCCS Istituto Tumori Giovanni Paolo II - U.O.C Ematologia, Bari, Italy|Azienda Ospedaliero - Universitaria Policlinico - Vittorio Emanuele Presidio Ospedale Ferrarotto - Ematologia, Catania, Italy|A.O. S. Croce e Carle - S.C. di Ematologia e Trapianto di Midollo Osseo, Cuneo, Italy|Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (I.R.S.T.) - Ematologia, Meldola, Italy|IEO Istitito Europeo di Oncologia - Divisione Ematoncologia, Milano, Italy|ASST Grande Ospedale Metropolitano Niguarda - SC Ematologia, Milano, Italy|AOU Federico II - Ematologia, Napoli, Italy|A.O. Ospedali Riuniti Villa Sofia-Cervello - Divisione di Ematologia, Palermo, Italy|Ospedale Guglielmo da Saliceto - U.O.Ematologia, Piacenza, Italy|AOU Pisana - U.O. Ematologia, Pisa, Italy|Ospedale degli Infermi di Rimini - U.O. di Ematologia, Rimini, Italy|Policlinico Tor Vergata - Ematologia, Roma, Italy|Ospedale S. Camillo - Ematologia, Roma, Italy|AOU Senese - U.O.C. Ematologia, Siena, Italy|A.O.U. Citta della Salute e della Scienza di Torino - Ematologia Universitaria, Torino, Italy|Ospedale Ca Foncello - S.C di Ematologia, Treviso, Italy|Trieste - Azienda Sanitaria Universitaria Giuliano Isontina (ASUGI) - SC Ematologia, Trieste, Italy|AOU Integrata di Verona - U.O. Ematologia, Verona, Italy	https://ClinicalTrials.gov/show/NCT04251065
39	A Study of CS1001 in Subjects With Relapsed or Refractory Extranodal Natural Killer/ T Cell Lymphoma(ENKTL)	Recruiting	No Results Available	Extranodal Natural Killer/T-Cell Lymphoma	Biological: CS1001	The University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Sun Yat-Sen University Cancer Center, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03595657
40	Anlotinib for Advanced and Refractory Natural Killer /T-cell Lymphoma	Recruiting	No Results Available	Natural Killer/T-Cell Lymphoma, Nasal and Nasal-Type	Drug: Anlotinib	Xinhua Hospital, Shanghai, China	https://ClinicalTrials.gov/show/NCT03618238
41	Sintilimab and Decitabine for Patients With Relapsed/Refractory or Advanced NK/T-cell Lymphoma	Recruiting	No Results Available	Extranodal NK/T-cell Lymphoma	Drug: Sintilimab|Drug: Decitabine	Beijing Tongren Hospital, Beijing, China	https://ClinicalTrials.gov/show/NCT04279379
42	Chidamide Combination With Lenalidomide in Patients With Relapsed or Refractory Peripheral T-cell Lymphoma	Recruiting	No Results Available	Relapsed or Refractory Peripheral T-cell Lymphoma	Drug: Chidamide, Lenalidomide	Guangdong General Hospital, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04329130
43	A Phase Ib Study of YY-20394 in Patients With Relapsed or Refractory Peripheral T-Cell Lymphoma	Recruiting	No Results Available	Relapsed or Refractory Peripheral T-Cell Lymphoma	Drug: YY-20394	Hematology Hospital of Chinese Academy of Medical Sciences, Tianjin, Tianjin, China	https://ClinicalTrials.gov/show/NCT04108325
44	A Study to Assess the Feasibility of Romidepsin Combined With Brentuximab Vedotin in Cutaneous T-cell Lymphoma	Recruiting	No Results Available	Cutaneous T-cell Lymphoma (CTCL)	Drug: Romidepsin|Drug: Brentuximab vedotin	Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT02616965
45	Anti-PD-1 Antibody Combined With Pegaspargase in the Treatment of Advanced Stage NK/T-cell Lymphoma	Recruiting	No Results Available	Nasal Type Extranodal NK/T-Cell Lymphoma	Drug: Pegaspargase|Drug: Anti-PD-1 monoclonal antibody	Ruijin hospital, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT04096690
46	Study Evaluating the Safety and Efficacy of C-CHOP in Untreated Subjects With Angioimmunoblastic T Cell Lymphoma	Recruiting	No Results Available	Angioimmunoblastic T-cell Lymphoma	Drug: Chidamide|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone	Ruijin hospital, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT03853044
47	Pegaspargase-COEP Chemotherapy Combined With Radiotherapy for Extra-nodal NK/T Cell Lymphoma	Recruiting	No Results Available	NK/T Cell Lymphoma Nos	Drug: pegaspargase, cyclophosphamide, vincristine, etoposide, prednisone	Peking University Cancer Hospital & Institute, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT04484506
48	GPED for Patients With Relapsed/Refractory or Advanced NK/T-cell Lymphoma	Recruiting	No Results Available	Extranodal NK/T-cell Lymphoma	Drug: Gemcitabine|Drug: Pegaspargase|Drug: Etoposide|Drug: Dexamethasone	Beijing Tongren Hospital, Beijing, China	https://ClinicalTrials.gov/show/NCT04917250
49	A Study of IMC-001 in Subjects With Relapsed or Refractory Extranodal NK/T Cell Lymphoma, Nasal Type	Recruiting	No Results Available	Extranodal NK/T-cell Lymphoma, Nasal Type|Extranodal NK/T-cell Lymphoma	Drug: IMC-001	Chonnam National University Hwasun Hospital, Hwasun, Chonnam, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of	https://ClinicalTrials.gov/show/NCT04414163
50	VT-EBV-N for Treatment of Severe in EBV Positive Extranodal NK/T Cell Lymphoma Patients	Recruiting	No Results Available	Extranodal NK/T-cell Lymphoma	Biological: VT-EBV-N|Other: Placebo	Inje University Busan Paik Hospital, Busan, Korea, Republic of|Keimyung University Daegu Dongsan Hospital, Daegu, Korea, Republic of|Hallym Univ. Medical Center, Gyeonggi-do, Korea, Republic of|Chonnam National University Hwasun Hospital, Hwasun, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of|Konkuk University Medical Center, Seoul, Korea, Republic of|Seoul St.Mary's Hospital, Seoul, Korea, Republic of	https://ClinicalTrials.gov/show/NCT03671850
51	B-MAD Chemotherapy in Newly-diagnosed Extranodal NK/ T-cell Lymphoma	Recruiting	No Results Available	Extranodal NK/T-cell Lymphoma	Drug: B-MAD chemotherapy	King Chulalongkorn Memorial Hospital, Bangkok, Thailand	https://ClinicalTrials.gov/show/NCT03246750
52	IPH4102 Alone or in Combination With Chemotherapy in Patients With Advanced T Cell Lymphoma	Recruiting	No Results Available	Lymphoma, T-Cell|Lymphoma, T-Cell, Cutaneous|Mycosis Fungoides/Sezary Syndrome	Biological: IPH4102	University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California, Los Angeles (UCLA) - Medical Center, Los Angeles, California, United States|Stanford Cancer Center, Stanford, California, United States|Moffitt Cancer Center, Tampa, Florida, United States|University of South Florida, Tampa, Florida, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States|Universal Dermatology, PLLC68, Fairport, New York, United States|Columbia University Pediatric Neuromuscular Center Columbia UMC, New York, New York, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, United States|MD Anderson Cancer Center, Houston, Texas, United States|Inova Health Care Services, Fairfax, Virginia, United States|CHU de Bordeaux Saint André, Bordeaux, France|CHU Henri Mondor, Créteil, France|CHRU de Lille - Hopital Claude Huriez, Lille, France|Centre Hospitalier Lyon-Sud, Lyon, France|Institut Paoli-Calmettes, Marseille, France|CHRU de Montpellier - Hopital Saint Eloi, Montpellier, France|Hôpital Saint-Louis Service de Dermatologie, Paris, France|CHU Rennes - Hopital Pontchaillou, Rennes, France|Hôpital Charles Nicolle-CHU de Rouen Clinique Dermatologie, Rouen, France|Institut Claudius Regaud Département de Dermatologie, Toulouse, France|CHRU de Tours, Hôpital Trousseau, service Dermatologie, Tours, France|Dermatology, Ruhr-University Bochum, Bochum, Germany|Universitaetsklinikum Halle (Saale), Halle, Germany|Universitaetsklinikum Schleswig-Holstein Campus Kiel, Kiel, Germany|Johannes Wesling Klinikum Minden, Minden, Germany|Istituto di Ematologia Lorenzo e Ariosto Seragnoli, Bologna, Italy|ASST degli Spedali Civili di Brescia, Brescia, Italy|Istituto Dermopatico dell'Immacolata (IDI-IRCCS), Roma, Italy|Universita di Torino, Turin, Italy|Hospital Clinic Barcelona, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Clinico Universitario de Salamanca, Salamanca, Spain|Hospital Universitari i Politecnic La Fe, Valencia, Spain|Consorci Hospital General Universitari de Valencia Servicio de Dermatología, Valencia, Spain|University of Birmingham, Birmingham, United Kingdom|Guy's and St. Thomas' NHS Foundation Trust, London, United Kingdom|Cancer Research UK - Christie Hospital Foundation NHS Trust - Dept of Medical Oncology, Manchester, United Kingdom	https://ClinicalTrials.gov/show/NCT03902184
53	VP-16, Ifosfamide, Dexamethasone, L-asparaginase Chemotherapy in Patients With Extranodal Natural Killer T Cell Lymphoma (VIDL+ASCT)	Recruiting	No Results Available	Extranodal NK-T-Cell Lymphoma	Drug: Etoposide|Drug: Ifosfamide|Drug: Dexamethasone|Drug: L-asparaginase|Drug: Busulfan|Drug: Melphalan	Samsung Medical Center, Seoul, Seoul, Korea, Republic Of, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of	https://ClinicalTrials.gov/show/NCT02544425
54	Evaluation of Safety and Efficacy of IBI318 Monotherapy for Relapsed/Refractory Extranodal NK/T Cell Lymphoma (Nasal Type) Trial	Recruiting	No Results Available	Extranodal NK/T Cell Lymphoma, Nasal Type	Drug: IBI318(Recombinant human anti-PD1/PD-L1 bispecific antibody)	Sun Yat-sen University Cancer Center, Guangdong, China	https://ClinicalTrials.gov/show/NCT04602065
55	Brentuximab Vedotin and Lenalidomide in Patients With Relapsed/ Refractory T-cell Lymphoma or Hodgkin Lymphoma	Recruiting	No Results Available	Lymphoma, T-Cell, Cutaneous|Lymphoma, T-Cell, Peripheral|Hodgkin Lymphoma	Drug: Lenalidomide 15mg|Drug: Brentuximab Vedotin 1.8 mg/Kg	Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia	https://ClinicalTrials.gov/show/NCT03302728
56	GELAD Chemotherapy and Sandwiched Radiotherapy in the Treatment of Stage IE/IIE Natural Killer/T-cell Lymphoma	Recruiting	No Results Available	Extranodal NK-T-Cell Lymphoma, Nasal Type	Drug: GELAD|Radiation: Radiotherapy	Shanghai Dong Fang hospital, Shanghai, Shanghai, China|Department of Hematology, Renji Hospital, Shanghai, Shanghai, China|South Renji hospital, Shanghai, Shanghai, China|Xin Jiang People's Hospital, Urumqi, Xinjiang, China|Shanghai Ninth Peoples' Hospital, Shanghai, China|Shanghai Eye and ENT Hospital of Fudan University, Shanghai, China|Xinhua Hospital, Shanghai, China	https://ClinicalTrials.gov/show/NCT02733458
